notation	description
A	Allgemeines
AA	Bibliografien der Bibliografien, Universalbibliografien, Bibliothekskataloge, Nationalbibliografien
AA 09900	Bibliografische Zeitschriften
AA 10000 - AA 19900	Bibliografien der Bibliografien
AA 20000 - AA 40000	Gesamtkataloge und Zentralkataloge, die Universalbibliografien ersetzen, sowie sonstige übergreifende Bibliothekskataloge
AA 50000 - AA 99500	Internationale Allgemeinbibliografien, Nationalbibliografien, umfassende Buchhandelskataloge
AB	Verzeichnisse amtlicher Druckschriften, Hochschulschriften und Akademieschriften, Serienbibliografien und Zeitschriftenbibliografien
AB 10000 - AB 19900	Verzeichnisse amtlicher Druckschriften
AB 20000 - AB 44990	Verzeichnisse von Schulschriften, Hochschulschriften, Akademieschriften und Gesellschaftsschriften
AB 45000 - AB 48990	Bibliografien von Sammelschriften und Serien
AB 50000 - AB 99950	Zeitschriftenbibliografien, Zeitungsbibliografien und Rezensionsbibliografien
AC	Bibliografien und Kataloge besonderer Literaturgattungen
AC 10000	Fachbibliografien und -kataloge übergreifender Art
AC 20000 - AC 26868	Übersetzungen
AC 30110 - AC 30688	Wörterbücher und Terminologien
AC 34000 - AC 34990	Unvollendete Werke
AC 35000 - AC 35990	Verlorene Werke
AC 40000 - AC 49990	Bibliografien von Schriften besonderer Erscheinungsart
AC 50000 - AC 55990	Verkleidete Literatur
AC 60000 - AC 65990	Buchhandels- und Verlagskataloge
AC 70000 - AC 72990	Verzeichnisse ausgewählter Literatur
AC 76000 - AC 79990	Bibliografien von Schriften für bestimmte Personen
AC 80000 - AC 95990	Bibliografien publizistischer Sonderformen
AD	Personal-, Landes- und topografische Bibliografien
AD 09000 - AD 09990	Bibliografien der biografischen Nachschlagewerke
AD 10000 - AD 10990	Biobibliografien
AD 11000	Personalbibliografien
AD 53000 - AD 99500	Landes- und topografische Bibliografien
AE	Enzyklopädien, allgemeine Nachschlagewerke
AE 10000 - AE 10099	Bibliografie
AE 10100	Geschichte
AE 10200	Methode
AE 11000 - AE 48676	Allgemeinenzyklopädien (nach Sprachen)
AE 50000	Lexika, die mehrere Sachgebiete behandeln (z.B. Literatur-Kunst-Musik) (alphabetisch)
AE 55000	Übergreifende Speziallexika nach Sachbegriffen (z.B. Frau, Krieg, Meer) (CSN des Sachbegriffs)
AE 60000 - AE 69908	Länderlexika und -darstellungen, Staatshandbücher, Ortslexika (Land und Leute)
AE 70000 - AE 90990	Allgemeine Nachschlagewerke
AF	Biografische Lexika
AF 01000	Biografische Zeitschriften
AF 02000 - AF 02095	Biografische Lexika
AF 03000 - AF 03095	Ländergruppen/Entwicklungsländer
AF 04000 - AF 05095	Westliche Welt, Abendland, Europäische Welt
AF 06000 - AF 59895	Europa
AF 60000 - AF 69995	Asien, Orient, Östliche Welt
AF 70000 - AF 79695	Afrika
AF 80000 - AF 89995	Amerika, Indianische Welt
AF 90000 - AF 97095	Ozeanien
AF 98000 - AF 98095	Arktis
AF 99000 - AF 99095	Antarktis
AH	Wörterbücher
AH 10000	Polyglott
AH 11000 - AH 19498	Germanische Sprachen
AH 20000 - AH 26498	Romanische Sprachen
AH 30000 - AH 38498	Slawische Sprachen
AH 40000 - AH 50298	Sonstige europäische Sprachen
AH 50400 - AH 67668	Übrige Sprachen der Welt
AH 68000 - AH 69488	Kunstsprachen
AK 10000 - AK 79999	Wissenschaftskunde und Wissenschaftsorganisation
AK 10000 - AK 13800	Bibliografien und Sammelschriften
AK 14000 - AK 14900	Organisationsformen, Standesfragen
AK 15000 - AK 15800	Nachschlagewerke, Allgemeine Darstellungen
AK 16000 - AK 18600	Biografien, Geschichte
AK 20000 - AK 20800	Wissenschaftstheorie
AK 22000 - AK 22900	Logik der Wissenschaft
AK 24000 - AK 24800	Theorie und Praxis, Technologieproblem
AK 25000 - AK 25400	Forschungsmethoden
