notation	description	uri
A	Allgemeines	https://th-wildau.de/rvk-short/A
AA	Bibliografien der Bibliografien, Universalbibliografien, Bibliothekskataloge, Nationalbibliografien	https://th-wildau.de/rvk-short/AA
AA 09900	Bibliografische Zeitschriften	https://th-wildau.de/rvk-short/AA09900
AA 10000 - AA 19900	Bibliografien der Bibliografien	https://th-wildau.de/rvk-short/AA10000-AA19900
AA 20000 - AA 40000	Gesamtkataloge und Zentralkataloge, die Universalbibliografien ersetzen, sowie sonstige übergreifende Bibliothekskataloge	https://th-wildau.de/rvk-short/AA20000-AA40000
AA 50000 - AA 99500	Internationale Allgemeinbibliografien, Nationalbibliografien, umfassende Buchhandelskataloge	https://th-wildau.de/rvk-short/AA50000-AA99500
AB	Verzeichnisse amtlicher Druckschriften, Hochschulschriften und Akademieschriften, Serienbibliografien und Zeitschriftenbibliografien	https://th-wildau.de/rvk-short/AB
AB 10000 - AB 19900	Verzeichnisse amtlicher Druckschriften	https://th-wildau.de/rvk-short/AB10000-AB19900
AB 20000 - AB 44990	Verzeichnisse von Schulschriften, Hochschulschriften, Akademieschriften und Gesellschaftsschriften	https://th-wildau.de/rvk-short/AB20000-AB44990
AB 45000 - AB 48990	Bibliografien von Sammelschriften und Serien	https://th-wildau.de/rvk-short/AB45000-AB48990
AB 50000 - AB 99950	Zeitschriftenbibliografien, Zeitungsbibliografien und Rezensionsbibliografien	https://th-wildau.de/rvk-short/AB50000-AB99950
AC	Bibliografien und Kataloge besonderer Literaturgattungen	https://th-wildau.de/rvk-short/AC
AC 10000	Fachbibliografien und -kataloge übergreifender Art	https://th-wildau.de/rvk-short/AC10000
AC 20000 - AC 26868	Übersetzungen	https://th-wildau.de/rvk-short/AC20000-AC26868
AC 30110 - AC 30688	Wörterbücher und Terminologien	https://th-wildau.de/rvk-short/AC30110-AC30688
AC 34000 - AC 34990	Unvollendete Werke	https://th-wildau.de/rvk-short/AC34000-AC34990
